"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"sapldnut  ","P",01/20/2016 11:30,1,1,2         ,1         ,"{CSM}",0.02,<-3> [GQD] ,0.5,<-3> [GQD] ,0.02,<-3> [GQD] ,"",<-3> [GCR] ,5.0,<-3> [GQD] ,4.61,<0>  ,
"sapldnut  ","P",01/20/2016 11:30,1,1,2         ,"S         ","{CSM}","",<-2>  ,"",<-2>  ,"",<-2>  ,"",<-2> [GCM] ,"",<-2>  ,4.68,<0>  ,
"sapldnut  ","P",01/20/2016 13:30,1,1,2         ,1         ,"{CSM}",0.02,<-3> [GQD] ,0.5,<-3> [GQD] ,0.02,<-3> [GQD] ,"",<-3> [GCR] ,5.0,<-3> [GQD] ,4.1,<0>  ,
"sapldnut  ","P",01/20/2016 13:30,1,1,2         ,"S         ","{CSM}","",<-2>  ,"",<-2>  ,"",<-2>  ,"",<-2> [GCM] ,"",<-2>  ,3.97,<0>  ,
"sapldnut  ","P",01/20/2016 15:30,1,1,2         ,1         ,"{CSM}",0.02,<-3> [GQD] ,0.5,<-3> [GQD] ,0.02,<-3> [GQD] ,"",<-3> [GCR] ,5.0,<-3> [GQD] ,6.38,<0>  ,
"sapldnut  ","P",01/20/2016 15:30,1,1,2         ,"S         ","{CSM}","",<-2>  ,"",<-2>  ,"",<-2>  ,"",<-2> [GCM] ,"",<-2>  ,5.53,<0>  ,
"sapldnut  ","P",01/20/2016 17:30,1,1,2         ,1         ,"{CSM}",0.02,<-3> [GQD] ,0.5,<-3> [GQD] ,0.02,<-3> [GQD] ,"",<-3> [GCR] ,5.0,<-3> [GQD] ,6.87,<0>  ,
"sapldnut  ","P",01/20/2016 17:30,1,1,2         ,"S         ","{CSM}","",<-2>  ,"",<-2>  ,"",<-2>  ,"",<-2> [GCM] ,"",<-2>  ,6.8,<0>  ,
"sapldnut  ","P",01/20/2016 19:30,1,1,2         ,1         ,"{CSM}",0.02,<-3> [GQD] ,0.5,<-3> [GQD] ,0.02,<-3> [GQD] ,"",<-3> [GCR] ,5.0,<-3> [GQD] ,9.62,<0>  ,
"sapldnut  ","P",01/20/2016 19:30,1,1,2         ,"S         ","{CSM}","",<-2>  ,"",<-2>  ,"",<-2>  ,"",<-2> [GCM] ,"",<-2>  ,9.82,<0>  ,
"sapldnut  ","P",01/20/2016 21:30,1,1,2         ,1         ,"{CSM}",0.02,<-3> [GQD] ,0.5,<-3> [GQD] ,0.02,<-3> [GQD] ,"",<-3> [GCR] ,5.0,<-3> [GQD] ,3.68,<0>  ,
"sapldnut  ","P",01/20/2016 21:30,1,1,2         ,"S         ","{CSM}","",<-2>  ,"",<-2>  ,"",<-2>  ,"",<-2> [GCM] ,"",<-2>  ,3.81,<0>  ,
"sapldnut  ","P",01/20/2016 23:30,1,1,2         ,1         ,"{CSM}",0.022,<-3> [GQD] ,0.5,<-3> [GQD] ,0.02,<-3> [GQD] ,"",<-3> [GCR] ,5.0,<-3> [GQD] ,3.19,<0>  ,
"sapldnut  ","P",01/20/2016 23:30,1,1,2         ,"S         ","{CSM}","",<-2>  ,"",<-2>  ,"",<-2>  ,"",<-2> [GCM] ,"",<-2>  ,3.32,<0>  ,
"sapldnut  ","P",01/21/2016 1:30,1,1,2         ,1         ,"{CSM}",0.02,<-3> [GQD] ,0.5,<-3> [GQD] ,0.02,<-3> [GQD] ,"",<-3> [GCR] ,5.0,<-3> [GQD] ,1.6,<0>  ,
"sapldnut  ","P",01/21/2016 1:30,1,1,2         ,"S         ","{CSM}","",<-2>  ,"",<-2>  ,"",<-2>  ,"",<-2> [GCM] ,"",<-2>  ,2.03,<0>  ,
"sapldnut  ","P",01/21/2016 3:30,1,1,2         ,1         ,"{CSM}",0.022,<-3> [GQD] ,0.5,<-3> [GQD] ,0.02,<-3> [GQD] ,"",<-3> [GCR] ,5.0,<-3> [GQD] ,5.22,<0>  ,
"sapldnut  ","P",01/21/2016 3:30,1,1,2         ,"S         ","{CSM}","",<-2>  ,"",<-2>  ,"",<-2>  ,"",<-2> [GCM] ,"",<-2>  ,4.79,<0>  ,
"sapldnut  ","P",01/21/2016 5:30,1,1,2         ,1         ,"{CSM}",0.02,<-3> [GQD] ,0.5,<-3> [GQD] ,0.03,<-3> [GQD] ,"",<-3> [GCR] ,5.0,<-3> [GQD] ,9.42,<0>  ,
"sapldnut  ","P",01/21/2016 5:30,1,1,2         ,"S         ","{CSM}","",<-2>  ,"",<-2>  ,"",<-2>  ,"",<-2> [GCM] ,"",<-2>  ,9.74,<0>  ,
"sapldnut  ","P",01/21/2016 7:30,1,1,2         ,1         ,"{CSM}",0.02,<-3> [GQD] ,0.5,<-3> [GQD] ,0.02,<-3> [GQD] ,"",<-3> [GCR] ,5.0,<-3> [GQD] ,11.53,<0>  ,
"sapldnut  ","P",01/21/2016 7:30,1,1,2         ,"S         ","{CSM}","",<-2>  ,"",<-2>  ,"",<-2>  ,"",<-2> [GCM] ,"",<-2>  ,11.17,<0>  ,
"sapldnut  ","P",01/21/2016 9:30,1,1,2         ,1         ,"{CSM}",0.02,<-3> [GQD] ,0.5,<-3> [GQD] ,0.02,<-3> [GQD] ,"",<-3> [GCR] ,5.0,<-3> [GQD] ,4.91,<0>  ,
"sapldnut  ","P",01/21/2016 9:30,1,1,2         ,"S         ","{CSM}","",<-2>  ,"",<-2>  ,"",<-2>  ,"",<-2> [GCM] ,"",<-2>  ,5.65,<0>  ,
"sapldnut  ","P",01/21/2016 10:29,1,1,1         ,1         ,"{CSM}",0.02,<-3> [GQD] ,0.5,<-3> [GQD] ,0.02,<-3> [GQD] ,"",<-3> [GCR] ,5.0,<-3> [GQD] ,4.67,<0>  ,
"sapldnut  ","P",01/21/2016 10:29,1,1,1         ,"S         ","{CSM}","",<-2>  ,"",<-2>  ,"",<-2>  ,"",<-2> [GCM] ,"",<-2>  ,5.28,<0>  ,
"sapldnut  ","P",01/21/2016 10:34,1,1,1         ,2         ,"{CSM}",0.02,<-3> [GQD] ,0.5,<-3> [GQD] ,0.02,<-3> [GQD] ,"",<-3> [GCR] ,5.0,<-3> [GQD] ,5.77,<0>  ,
"sapldnut  ","P",01/21/2016 10:34,1,1,1         ,"S         ","{CSM}","",<-2>  ,"",<-2>  ,"",<-2>  ,"",<-2> [GCM] ,"",<-2>  ,5.16,<0>  ,
"sapldnut  ","P",01/21/2016 11:30,1,1,2         ,1         ,"{CSM}",0.02,<-3> [GQD] ,0.5,<-3> [GQD] ,0.02,<-3> [GQD] ,"",<-3> [GCR] ,5.0,<-3> [GQD] ,6.09,<0>  ,
"sapldnut  ","P",01/21/2016 11:30,1,1,2         ,"S         ","{CSM}","",<-2>  ,"",<-2>  ,"",<-2>  ,"",<-2> [GCM] ,"",<-2>  ,6.28,<0>  ,
"sapldnut  ","P",02/17/2016 10:15,1,1,2         ,1         ,"{CSM}",0.02,<-3> [GQD] ,0.5,<-3> [GQD] ,0.02,<-3> [GQD] ,"",<-3> [GCR] ,5.0,<-3> [GQD] ,9.74,<0>  ,
"sapldnut  ","P",02/17/2016 10:15,1,1,2         ,"S         ","{CSM}","",<-2>  ,"",<-2>  ,"",<-2>  ,"",<-2> [GCM] ,"",<-2>  ,8.46,<0>  ,
"sapldnut  ","P",02/17/2016 12:15,1,1,2         ,1         ,"{CSM}",0.02,<-3> [GQD] ,0.5,<-3> [GQD] ,0.02,<-3> [GQD] ,"",<-3> [GCR] ,5.0,<-3> [GQD] ,7.58,<0>  ,
"sapldnut  ","P",02/17/2016 12:15,1,1,2         ,"S         ","{CSM}","",<-2>  ,"",<-2>  ,"",<-2>  ,"",<-2> [GCM] ,"",<-2>  ,7.34,<0>  ,
"sapldnut  ","P",02/17/2016 14:15,1,1,2         ,1         ,"{CSM}",0.02,<-3> [GQD] ,0.5,<-3> [GQD] ,0.02,<-3> [GQD] ,"",<-3> [GCR] ,5.0,<-3> [GQD] ,9.21,<0>  ,
"sapldnut  ","P",02/17/2016 14:15,1,1,2         ,"S         ","{CSM}","",<-2>  ,"",<-2>  ,"",<-2>  ,"",<-2> [GCM] ,"",<-2>  ,8.6,<0>  ,
"sapldnut  ","P",02/17/2016 16:15,1,1,2         ,1         ,"{CSM}",0.02,<-3> [GQD] ,0.5,<-3> [GQD] ,0.02,<-3> [GQD] ,"",<-3> [GCR] ,5.0,<-3> [GQD] ,10.5,<0>  ,
"sapldnut  ","P",02/17/2016 16:15,1,1,2         ,"S         ","{CSM}","",<-2>  ,"",<-2>  ,"",<-2>  ,"",<-2> [GCM] ,"",<-2>  ,10.56,<0>  ,
"sapldnut  ","P",02/17/2016 18:15,1,1,2         ,1         ,"{CSM}",0.02,<-3> [GQD] ,0.5,<-3> [GQD] ,0.02,<-3> [GQD] ,"",<-3> [GCR] ,5.0,<-3> [GQD] ,7.41,<0>  ,
"sapldnut  ","P",02/17/2016 18:15,1,1,2         ,"S         ","{CSM}","",<-2>  ,"",<-2>  ,"",<-2>  ,"",<-2> [GCM] ,"",<-2>  ,7.48,<0>  ,
"sapldnut  ","P",02/17/2016 20:15,1,1,2         ,1         ,"{CSM}",0.02,<-3> [GQD] ,0.5,<-3> [GQD] ,0.02,<-3> [GQD] ,"",<-3> [GCR] ,5.0,<-3> [GQD] ,6.66,<0>  ,
"sapldnut  ","P",02/17/2016 20:15,1,1,2         ,"S         ","{CSM}","",<-2>  ,"",<-2>  ,"",<-2>  ,"",<-2> [GCM] ,"",<-2>  ,6.66,<0>  ,
"sapldnut  ","P",02/17/2016 22:15,1,1,2         ,1         ,"{CSM}",0.197,<-3> [GQD] ,0.5,<-3> [GQD] ,0.02,<-3> [GQD] ,"",<-3> [GCR] ,5.0,<-3> [GQD] ,3.91,<0>  ,
"sapldnut  ","P",02/17/2016 22:15,1,1,2         ,"S         ","{CSM}","",<-2>  ,"",<-2>  ,"",<-2>  ,"",<-2> [GCM] ,"",<-2>  ,5.32,<0>  ,
"sapldnut  ","P",02/18/2016 0:15,1,1,2         ,1         ,"{CSM}",0.02,<-3> [GQD] ,0.5,<-3> [GQD] ,0.02,<-3> [GQD] ,"",<-3> [GCR] ,5.0,<-3> [GQD] ,3.52,<0>  ,
"sapldnut  ","P",02/18/2016 0:15,1,1,2         ,"S         ","{CSM}","",<-2>  ,"",<-2>  ,"",<-2>  ,"",<-2> [GCM] ,"",<-2>  ,3.35,<0>  ,
"sapldnut  ","P",02/18/2016 2:15,1,1,2         ,1         ,"{CSM}",0.02,<-3> [GQD] ,0.5,<-3> [GQD] ,0.02,<-3> [GQD] ,"",<-3> [GCR] ,5.0,<-3> [GQD] ,5.89,<0>  ,
