"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"acemcnut  ","P",01/12/2021 11:42,0,1,1         ,1         ,"",0.0366,<0>  ,0.026,<0>  ,"","","","",0.0315,<0>  ,6.9,<0>  ,
"acemcnut  ","P",01/12/2021 11:43,0,1,1         ,2         ,"",0.0362,<0>  ,0.023,<0>  ,"","","","",0.0352,<0>  ,7.0,<0>  ,
"acemcnut  ","P",02/09/2021 10:40,0,1,1         ,1         ,"","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"","","","","",<-2> [GDM] (CSM) ,5.9,<0>  ,
"acemcnut  ","P",02/09/2021 10:41,0,1,1         ,2         ,"","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"","","","","",<-2> [GDM] (CSM) ,6.5,<0>  ,
"acemcnut  ","P",03/24/2021 8:46,0,1,1         ,1         ,"",0.0258,<0>  ,0.037,<0>  ,"","","","",0.0216,<0>  ,4.7,<0>  ,
"acemcnut  ","P",03/24/2021 8:47,0,1,1         ,2         ,"",0.0247,<0>  ,0.033,<0>  ,"","","","",0.0237,<0>  ,4.9,<0>  ,
"acemcnut  ","P",04/06/2021 8:27,0,1,1         ,1         ,"",0.0311,<0>  ,0.053,<0>  ,"","","","",0.0338,<0>  ,6.7,<0>  ,
"acemcnut  ","P",04/06/2021 8:28,0,1,1         ,2         ,"",0.0303,<0>  ,0.055,<0>  ,"","","","",0.0351,<0>  ,6.8,<0>  ,
"acemcnut  ","P",05/05/2021 7:53,0,1,1         ,1         ,"",0.0278,<0>  ,0.034,<0>  ,"","","","",0.022,<0>  ,9.3,<0>  ,
"acemcnut  ","P",05/05/2021 7:54,0,1,1         ,2         ,"",0.0273,<0>  ,0.036,<0>  ,"","","","",0.0217,<0>  ,9.0,<0>  ,
"acemcnut  ","P",06/07/2021 10:37,0,1,1         ,1         ,"",0.0394,<0>  ,0.032,<0>  ,"","","","",0.0247,<1> [SRD] (CSM) ,12.0,<0>  ,
"acemcnut  ","P",06/07/2021 10:39,0,1,1         ,2         ,"",0.0284,<0>  ,0.026,<0>  ,"","","","",0.0113,<1> [SRD] (CSM) ,12.9,<0>  ,
"acemcnut  ","P",07/06/2021 9:21,0,1,1         ,1         ,"",0.0425,<0>  ,0.009,<-4> [SBL] ,"","","","",0.0527,<0>  ,15.0,<0>  ,
"acemcnut  ","P",07/06/2021 9:22,0,1,1         ,2         ,"",0.0422,<0>  ,0.009,<-4> [SBL] ,"","","","",0.0502,<0>  ,9.8,<0>  ,
"acemcnut  ","P",08/03/2021 8:25,0,1,1         ,1         ,"",0.1114,<0>  ,0.028,<0>  ,"","","","",0.135,<0>  ,7.1,<0>  ,
"acemcnut  ","P",08/03/2021 8:26,0,1,1         ,2         ,"",0.1138,<0>  ,0.026,<0>  ,"","","","",0.119,<0>  ,7.0,<0>  ,
"acemcnut  ","P",09/02/2021 8:44,0,1,1         ,1         ,"",0.083,<0>  ,0.01,<0>  ,"","","","",0.1089,<0>  ,9.3,<0>  ,
"acemcnut  ","P",09/02/2021 8:45,0,1,1         ,2         ,"",0.0838,<0>  ,0.009,<-4> [SBL] ,"","","","",0.1128,<0>  ,8.7,<0>  ,
"acemcnut  ","P",10/14/2021 7:04,0,1,1         ,1         ,"",0.0521,<0>  ,0.009,<-4> [SBL] ,"","","","",0.1154,<0>  ,2.8,<0>  ,
"acemcnut  ","P",10/14/2021 7:05,0,1,1         ,2         ,"",0.0525,<0>  ,0.009,<-4> [SBL] ,"","","","",0.118,<0>  ,2.8,<0>  ,
"acemcnut  ","P",11/01/2021 9:48,0,1,1         ,1         ,"",0.0608,<0>  ,0.041,<0>  ,"","","","",0.0842,<0>  ,3.8,<0>  ,
"acemcnut  ","P",11/01/2021 9:49,0,1,1         ,2         ,"",0.0619,<0>  ,0.039,<0>  ,"","","","",0.0904,<0>  ,3.5,<0>  ,
"acemcnut  ","P",12/01/2021 9:53,0,1,1         ,1         ,"",0.0441,<0>  ,0.015,<0>  ,"","","","",0.0177,<0>  ,8.2,<0>  ,
"acemcnut  ","P",12/01/2021 9:54,0,1,1         ,2         ,"",0.045,<0>  ,0.015,<0>  ,"","","","",0.0216,<0>  ,7.6,<0>  ,

